card_id,customer_id,card_type_id,card_number,expiration_date,credit_limit,current_balance,issue_date
1,1,2,6586-8088-4392-2873,06/26,6900.0,76.07,2022-05-24
2,2,1,3423-7434-7986-0767,12/27,1800.0,55.93,2022-06-18
3,3,2,5157-6887-6362-4174,01/27,8500.0,390.61,2024-05-26
4,3,1,4808-7071-4224-9789,12/27,3800.0,133.24,2022-06-03
5,3,5,6598-1737-0639-0968,01/28,84200.0,1786.8,2022-06-12
6,4,1,5361-5336-2170-3057,02/27,4800.0,220.97,2022-06-15
7,4,3,5176-0136-5687-7808,11/25,16600.0,798.81,2024-11-23
8,5,1,5335-1871-5116-7732,09/27,2900.0,96.11,2025-02-15
9,5,3,6443-0293-4898-2351,04/26,20000.0,795.97,2024-11-04
10,6,1,6528-3490-5121-0823,12/26,1300.0,12.14,2024-05-29
11,7,1,5466-2756-6466-3690,08/25,4100.0,65.99,2024-08-06
12,8,1,5291-7215-5074-1873,12/26,3400.0,143.48,2023-11-12
13,9,5,6443-8882-3728-2916,06/28,62100.0,1383.89,2023-06-24
14,9,4,6011-2000-8412-7634,11/26,29000.0,709.71,2022-10-20
15,9,1,5416-5999-3977-1263,05/28,2200.0,84.81,2024-02-27
16,10,4,6011-6000-9826-9353,10/25,37000.0,740.09,2024-04-16
17,10,1,6539-1057-8177-8493,09/26,3500.0,30.99,2024-01-17
18,10,3,4866-8638-3938-9273,05/26,20900.0,891.69,2024-05-12
19,11,1,5137-1686-5179-8962,08/26,2700.0,110.87,2023-07-17
20,11,3,5357-2058-2895-6178,08/27,13200.0,207.29,2024-02-09
21,11,4,3460-1845-1305-2409,10/25,36300.0,558.83,2024-05-25
22,12,4,6011-8739-1838-0003,11/25,29000.0,590.4,2025-01-11
23,12,5,5391-6019-4347-8372,11/27,76400.0,983.54,2023-10-26
24,13,1,6580-5809-3635-9402,03/28,2400.0,95.08,2024-09-29
25,14,2,5111-3250-2344-7922,03/27,9400.0,315.71,2024-09-13
26,14,5,6447-8031-5588-9220,02/26,87200.0,1389.99,2024-08-23
27,15,5,5101-8914-4622-6692,10/26,99700.0,334.55,2024-10-27
28,15,1,6444-5727-8733-7736,07/27,2900.0,62.72,2024-11-23
29,15,2,5364-7174-1701-5559,05/26,7100.0,96.68,2023-05-29
30,16,3,3704-2018-0233-9645,11/26,10800.0,456.94,2023-04-01
31,17,2,4562-9106-8687-6732,12/27,7800.0,98.75,2024-06-14
32,18,4,5249-1972-7417-5521,10/26,37700.0,798.49,2024-10-29
33,18,5,3762-2526-8222-8315,02/28,87700.0,3739.06,2024-11-27
34,19,2,6444-8132-0287-8632,05/28,9700.0,195.29,2023-07-25
35,20,1,5367-2472-7105-0375,06/26,2400.0,41.67,2023-03-12
36,21,3,5569-7655-5636-4736,11/26,11400.0,292.24,2024-03-19
37,22,4,5122-6230-3922-7380,12/26,35500.0,404.28,2024-05-19
38,22,1,5431-4102-9681-3948,11/27,1900.0,30.43,2023-06-10
39,23,1,5495-8769-0756-7377,02/26,4400.0,60.23,2022-12-01
40,24,1,6011-7767-7296-5533,04/27,4900.0,229.43,2023-08-06
41,25,1,3445-6987-5460-4627,05/26,4700.0,149.54,2023-08-22
42,26,3,6546-3929-1084-2707,11/26,16300.0,395.1,2022-09-09
43,26,1,6445-1251-6114-5303,03/27,4000.0,133.01,2024-02-17
44,26,2,6447-2958-4113-4054,05/27,6600.0,243.17,2024-11-27
45,27,4,6534-0768-3295-5380,01/28,48900.0,111.44,2023-12-06
46,27,2,5406-2672-3384-7555,07/26,9900.0,177.4,2024-02-12
47,27,3,4313-5979-0286-0848,10/25,16300.0,324.55,2024-11-03
48,28,2,3780-4484-7878-5291,12/27,6900.0,184.67,2024-05-17
49,29,5,5268-1500-2598-3677,11/27,59300.0,2803.15,2023-05-19
50,30,3,5260-0594-7573-2408,01/26,15800.0,8.03,2022-10-26
51,30,4,4935-1496-6779-8701,11/27,34600.0,1264.28,2023-12-01
52,30,1,3758-3911-2147-5991,07/26,3400.0,153.26,2024-11-09
